player 1,player 2,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"HORN,JEREMY","LYNDS,SCOTT",00:32:34,7,57,50,5,7,19,15,18,8,10,10,3,50,56,9,7,27,13,22,5,6,8,17
"LEVINE,JD","GARVIN,SAM",00:04:39,5,9,7,0,1,3,3,3,1,1,2,0,4,8,0,0,6,2,3,0,3,0,0
"KUSCH,RYAN","SUI,MARK",00:03:54,-3,4,6,2,1,2,1,2,0,0,0,4,7,7,1,0,3,1,1,0,1,0,6
"MORRIS,KENDRICK","MADDOCK,ANDREW",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","LYNDS,SCOTT",02:23:48,38,270,231,35,31,83,75,57,29,47,52,50,232,240,52,27,86,50,55,23,52,42,79
"HALL,RILEY","MORRIS,KENDRICK",08:16:39,165,985,838,161,120,243,273,201,90,132,189,230,820,819,141,89,324,194,229,97,154,144,200
"KUSCH,RYAN","LYNDS,SCOTT",00:27:27,-17,33,43,8,6,20,11,14,3,13,6,2,50,48,8,2,17,16,9,3,5,11,16
"GARVIN,SAM","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYNDS,SCOTT","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRESIDENT,MILES","SUI,MARK",00:02:45,1,7,5,1,0,1,2,1,1,0,1,0,6,6,0,1,3,1,1,1,2,1,4
"DAVIS,EVAN","LEVINE,JD",00:48:38,-10,80,77,17,9,24,17,18,13,13,21,14,90,75,18,11,19,21,23,9,9,16,22
"KIRSCH,MAXWELL","MADDOCK,ANDREW",00:08:04,-3,17,14,1,4,5,4,5,2,5,3,5,20,16,3,3,5,2,3,2,2,3,14
"ELY,JACK","LEVINE,JD",00:19:09,-2,26,29,5,7,10,7,10,3,9,7,4,28,30,9,6,9,5,11,5,4,6,4
"SUI,MARK","WALKER,GEORGE",00:04:08,1,6,7,1,0,4,1,3,1,0,2,2,5,8,3,1,2,0,2,0,0,0,7
"SUI,MARK","MKPADO,KELE",00:09:54,6,16,16,4,3,7,4,6,2,2,3,5,10,16,8,2,2,1,2,0,1,0,11
"LEVINE,JD","SUI,MARK",00:07:27,5,13,9,2,3,3,3,4,2,1,2,3,8,12,4,0,4,2,2,0,1,0,6
"PRESIDENT,MILES","MORRIS,KENDRICK",07:40:03,164,923,778,155,106,213,251,183,87,112,178,211,759,752,122,82,302,185,213,87,145,131,183
"HALL,RILEY","MYERS,PATRICK",04:01:52,28,409,383,70,46,132,116,94,38,71,78,87,381,383,85,39,136,86,90,47,77,70,94
"HORN,JEREMY","ELY,JACK",00:32:48,-4,55,55,7,10,24,15,20,7,12,11,8,59,60,12,9,23,15,19,5,8,8,22
"ELY,JACK","MADDOCK,ANDREW",00:18:35,3,34,30,8,5,7,9,7,4,6,6,8,31,29,6,6,10,4,8,4,6,6,14
"LEVINE,JD","MADDOCK,ANDREW",00:02:57,-2,5,5,1,2,1,2,1,0,2,0,2,7,7,1,0,3,1,1,0,1,0,6
